Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-09-03,290.18353271484375,291.5904047928127,289.3355453558773,290.03896669123856,14747900
2021-09-07,289.2584228515625,290.13531748316177,287.3504808113143,290.05824109463697,17180400
2021-09-08,289.2873229980469,289.67276374560055,286.6470229996981,288.8729749296078,15046800
2021-09-09,286.43499755859375,291.1470962428215,286.1940934395369,289.87511543646343,19927000
2021-09-10,284.95111083984375,289.00795867195626,284.63313024045095,287.562533496579,19633400
2021-09-13,286.1844787597656,287.6781021035082,283.38035098235275,286.7241016921292,23652900
2021-09-14,288.8826904296875,290.42448320033697,287.2541756753906,288.66104797775466,21853400
2021-09-15,293.7296142578125,294.21142254991946,290.83876450517084,292.2263747390184,28356300
2021-09-16,294.1150817871094,294.20180375871473,289.81735966426726,292.70820968009997,19550800
2021-09-17,288.9596862792969,293.4212355512948,288.6320601855472,293.103255033234,41372500
2021-09-20,283.59234619140625,287.8515443910694,278.98626014030367,285.5484866618961,38278700
2021-09-21,284.0741271972656,286.7144563554884,283.37070598587525,284.93175998192237,22364100
2021-09-22,287.7165832519531,289.29692832647936,283.79468669698116,285.9339163666204,26626300
2021-09-23,288.6609802246094,289.9522229123692,286.70483974436394,287.9768206871402,18604600
2021-09-24,288.4586181640625,288.8922279642704,286.1266531897196,287.3793723405542,14999000
2021-09-27,283.46710205078125,285.68340842010866,282.2818430717225,285.3654278881508,23571700
2021-09-28,273.2044677734375,280.2003311372439,272.462493849823,279.25597662854295,43186200
2021-09-29,273.6671142578125,276.3363216518175,272.7131432346265,274.7270983987107,26353700
2021-09-30,271.6627502441406,277.35769732785985,271.37364767786374,275.31483525135485,32343600
2021-10-01,278.58154296875,279.42953021502547,271.05570026891905,271.8554890446492,30086300
2021-10-04,272.8094482421875,277.2806428364156,270.05351921774275,276.94337118609593,31350700
2021-10-05,278.25396728515625,279.8342833790181,273.71531146174215,273.71531146174215,24993000
2021-10-06,282.4455871582031,282.9466865037661,275.1221260888592,275.3822919286594,28002600
2021-10-07,284.12237548828125,285.84725752796135,283.2262190604028,284.44035604398937,20430500
2021-10-08,284.12237548828125,285.84725752796135,283.0720368673409,285.4425255952682,17685700
2021-10-11,283.52490234375,287.1288187573514,282.0987392920623,282.26256704142725,19298600
2021-10-12,282.2240295410156,284.69088564097564,281.7133139283031,284.5945181012245,17974100
2021-10-13,285.52923583984375,286.4639451294158,282.81182993730505,284.1801784650092,23416300
2021-10-14,291.73492431640625,292.2359943595076,286.99391772689086,288.32371333397117,27262900
2021-10-15,293.1417541503906,293.37304209699454,289.58600707147593,291.3397960809564,25384800
2021-10-18,296.1097717285156,296.9962825877865,291.6771292104213,292.52511657650416,22729300
2021-10-19,297.0155944824219,298.04664203126316,296.0423321773978,297.1312237845537,17682100
2021-10-20,296.22540283203125,298.4320932312607,294.97268352184886,297.9599010679799,16537100
2021-10-21,299.45343017578125,299.703950433072,295.2134946556288,295.994050963795,16918100
2021-10-22,297.9117431640625,299.7715163414631,296.60120915737616,299.10661846440314,17449300
2021-10-25,296.919189453125,298.1429719558944,295.3099367822359,298.1044190576334,17554500
2021-10-26,298.8271484375,301.03383882381803,297.3721072772416,299.6847813807239,28107300
2021-10-27,311.4119567871094,314.2353460702273,304.50281355306396,304.50281355306396,52588700
2021-10-28,312.5489807128906,313.05005064705665,309.6677477215304,312.5296895645361,26297900
2021-10-29,319.554443359375,319.9206222707464,312.1153240989585,312.3369664419561,34766000
2021-11-01,317.3863830566406,319.429245467658,314.4955333639382,319.30397060914856,27073200
2021-11-02,321.0095520019531,321.31791632302634,317.99342781479373,318.29214656107087,26487100
2021-11-03,321.8479309082031,322.71517993039924,318.61980955207633,321.75156337079386,21500100
2021-11-04,324.19903564453125,324.2954031456698,317.5211824576076,320.7782099083563,23992200
2021-11-05,323.8330078125,326.46369184358485,322.25269180428967,326.1938803589028,22570100
2021-11-08,324.7291259765625,325.36511641707693,322.2719155808302,325.0278447491498,20897000
2021-11-09,323.72698974609375,326.39619698658385,322.3586413143152,324.8447590588509,21307400
2021-11-10,318.76434326171875,322.4550111195703,317.916385399046,322.39719647909817,25500900
2021-11-11,320.3349914550781,321.62623389681136,318.4848644428664,319.197931165569,16849800
2021-11-12,324.4690246582031,324.96047859803025,321.6456347130858,321.7709095924338,23831000
2021-11-15,323.8425598144531,325.5867030877546,321.8767741899314,325.2590770515406,16723000
2021-11-16,327.1574401855469,328.27523883002146,323.3029742696654,323.4667726030353,20886800
2021-11-17,327.37945556640625,330.34317737832805,326.2982353582756,327.2056943460369,19053400
2021-11-18,329.4551086425781,330.5942790410435,325.44878891319365,326.472089004235,22463500
2021-11-19,331.23126220703125,333.15238695894493,330.3527930102553,330.7775622395502,21963400
2021-11-22,328.06488037109375,337.5642399354129,327.7945753077866,332.6890561129603,31031100
2021-11-23,325.98931884765625,327.6980592938018,322.01196030987296,325.38112509299714,30427600
2021-11-24,326.2114562988281,326.45280122259743,322.34993751851977,324.6378826820844,21661300
2021-11-26,318.2662353515625,326.23061444639154,316.76024602505964,322.77456957173445,24217200
2021-11-29,324.9757080078125,327.29261293135295,323.1511265991085,323.34421428483876,28563500
2021-11-30,319.1448059082031,326.0858868817991,317.6001928133879,323.71106155688426,42885600
2021-12-01,318.65240478515625,327.5339066425295,317.98632013384116,323.52758820834913,33337600
2021-12-02,318.0829162597656,321.94443467534484,316.4514223722996,318.8648713820366,30766000
2021-12-03,311.82720947265625,321.1817382170732,307.01960945389317,320.4962976310111,41779300
2021-12-06,314.897216796875,316.11360468541386,308.1781821185273,312.73477562707376,30032600
2021-12-07,323.3249206542969,324.1744298816056,318.67178431375265,320.15847701837134,31021900
2021-12-08,323.3731689453125,323.8848188965732,319.34752350913357,323.70139443658877,24761000
2021-12-09,321.56793212890625,324.84055346464856,320.62184956942644,322.832576975175,22214200
2021-12-10,330.68109130859375,331.1251576149035,323.1994004295398,323.38282488539363,38095700
2021-12-13,327.64971923828125,331.88774838642314,327.34079080039083,328.8854035288056,28899400
2021-12-14,316.97271728515625,323.05462611476247,312.8891511907512,321.68377419361184,44438700
2021-12-15,323.0643005371094,323.5856138077835,313.26570278294963,317.2333990836734,35381100
2021-12-16,313.65179443359375,325.10121065165634,311.83687625533753,324.0875444975225,35034800
2021-12-17,312.5898742675781,313.67112406852533,306.2666502470529,309.7709825901244,47750300
2021-12-20,308.8345642089844,311.6244956878622,306.5755796789902,308.96970202135424,28326500
2021-12-21,315.9590759277344,316.38384527957237,308.7283631846601,312.09755779178596,24740600
2021-12-22,321.6643981933594,322.06017778513547,314.47231054235743,316.9340160008676,24831500
2021-12-23,323.10284423828125,324.74400105600773,321.2107088019103,321.23000578456225,19617800
2021-12-27,330.5942077636719,330.62316796902155,323.817225101408,323.8461853067577,19947000
2021-12-28,329.4356994628906,331.9070682140661,328.5379037481907,331.26991431494497,15661500
2021-12-29,330.11151123046875,332.38012934520907,327.9200810470128,329.4839910257525,15042000
2021-12-30,327.57257080078125,331.25066424671456,327.0898810628788,330.0729001077908,15994500
2021-12-31,324.6764221191406,327.6111544209489,324.2226926014007,326.7906054612649,18000800
2022-01-03,323.1607971191406,326.29828058631676,318.3628596847403,323.7400307283668,28865100
2022-01-04,317.61956787109375,323.59527025765954,314.82960654307294,323.2380550401067,32674300
2022-01-05,305.42681884765625,314.7813500273399,305.04067287927575,314.5785990885747,40054300
2022-01-06,303.01336669921875,307.6665036436116,300.7060952138819,302.3086289546871,39646100
2022-01-07,303.1676940917969,305.5425186893923,299.35443444380263,303.27387166315657,32720000
2022-01-10,303.38983154296875,303.824264140596,294.14150808241357,298.77531830555176,44289500
